Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
102,153,0,192,0,887,942,62,
102,153,0,192,0,887,942,63,
102,153,0,192,0,887,942,64,
102,153,0,192,0,887,942,65,
102,153,0,192,0,887,942,66,
102,153,0,192,0,887,942,67,
102,153,0,192,0,887,942,68,
102,153,0,192,0,887,942,69,
102,153,0,192,0,887,942,70,
102,153,0,192,0,887,942,71,
102,153,0,192,0,887,942,72,
102,153,0,192,0,887,942,73,
102,153,0,192,0,887,942,74,
102,153,0,192,0,887,942,75,
102,153,0,192,0,887,942,76,
102,153,0,192,0,887,942,77,
102,153,0,192,0,887,942,78,
102,153,0,192,0,887,942,79,
102,153,0,192,0,887,942,80,
102,153,0,192,0,887,942,81,
102,153,0,192,0,887,942,82,
102,153,0,192,0,887,942,83,
102,153,0,192,0,887,942,84,
102,153,0,192,0,887,942,85,
102,153,0,192,0,887,942,86,
102,153,0,192,0,887,942,87,
102,153,0,192,0,887,942,88,
102,153,0,192,0,887,942,89,
102,153,0,192,0,887,942,90,25.46
108.3,162.4,0,203.5,0,938.2,849,1,
108.3,162.4,0,203.5,0,938.2,849,2,
108.3,162.4,0,203.5,0,938.2,849,3,2.33
108.3,162.4,0,203.5,0,938.2,849,4,
108.3,162.4,0,203.5,0,938.2,849,5,
108.3,162.4,0,203.5,0,938.2,849,6,
108.3,162.4,0,203.5,0,938.2,849,7,7.72
108.3,162.4,0,203.5,0,938.2,849,8,
108.3,162.4,0,203.5,0,938.2,849,9,
108.3,162.4,0,203.5,0,938.2,849,10,
108.3,162.4,0,203.5,0,938.2,849,11,
108.3,162.4,0,203.5,0,938.2,849,12,
108.3,162.4,0,203.5,0,938.2,849,13,
108.3,162.4,0,203.5,0,938.2,849,14,
108.3,162.4,0,203.5,0,938.2,849,15,
108.3,162.4,0,203.5,0,938.2,849,16,
108.3,162.4,0,203.5,0,938.2,849,17,
108.3,162.4,0,203.5,0,938.2,849,18,
108.3,162.4,0,203.5,0,938.2,849,19,
108.3,162.4,0,203.5,0,938.2,849,20,
108.3,162.4,0,203.5,0,938.2,849,21,
108.3,162.4,0,203.5,0,938.2,849,22,
108.3,162.4,0,203.5,0,938.2,849,23,
108.3,162.4,0,203.5,0,938.2,849,24,
108.3,162.4,0,203.5,0,938.2,849,25,
108.3,162.4,0,203.5,0,938.2,849,26,
108.3,162.4,0,203.5,0,938.2,849,27,
108.3,162.4,0,203.5,0,938.2,849,28,20.59
108.3,162.4,0,203.5,0,938.2,849,29,
108.3,162.4,0,203.5,0,938.2,849,30,
108.3,162.4,0,203.5,0,938.2,849,31,
108.3,162.4,0,203.5,0,938.2,849,32,
108.3,162.4,0,203.5,0,938.2,849,33,
108.3,162.4,0,203.5,0,938.2,849,34,
108.3,162.4,0,203.5,0,938.2,849,35,
108.3,162.4,0,203.5,0,938.2,849,36,
108.3,162.4,0,203.5,0,938.2,849,37,
108.3,162.4,0,203.5,0,938.2,849,38,
108.3,162.4,0,203.5,0,938.2,849,39,
108.3,162.4,0,203.5,0,938.2,849,40,
108.3,162.4,0,203.5,0,938.2,849,41,
108.3,162.4,0,203.5,0,938.2,849,42,
108.3,162.4,0,203.5,0,938.2,849,43,
108.3,162.4,0,203.5,0,938.2,849,44,
108.3,162.4,0,203.5,0,938.2,849,45,
108.3,162.4,0,203.5,0,938.2,849,46,
108.3,162.4,0,203.5,0,938.2,849,47,
108.3,162.4,0,203.5,0,938.2,849,48,
108.3,162.4,0,203.5,0,938.2,849,49,
108.3,162.4,0,203.5,0,938.2,849,50,
108.3,162.4,0,203.5,0,938.2,849,51,
108.3,162.4,0,203.5,0,938.2,849,52,
108.3,162.4,0,203.5,0,938.2,849,53,
108.3,162.4,0,203.5,0,938.2,849,54,
108.3,162.4,0,203.5,0,938.2,849,55,
108.3,162.4,0,203.5,0,938.2,849,56,
108.3,162.4,0,203.5,0,938.2,849,57,
108.3,162.4,0,203.5,0,938.2,849,58,
108.3,162.4,0,203.5,0,938.2,849,59,
108.3,162.4,0,203.5,0,938.2,849,60,
108.3,162.4,0,203.5,0,938.2,849,61,
108.3,162.4,0,203.5,0,938.2,849,62,
108.3,162.4,0,203.5,0,938.2,849,63,
108.3,162.4,0,203.5,0,938.2,849,64,
108.3,162.4,0,203.5,0,938.2,849,65,
108.3,162.4,0,203.5,0,938.2,849,66,
108.3,162.4,0,203.5,0,938.2,849,67,
108.3,162.4,0,203.5,0,938.2,849,68,
108.3,162.4,0,203.5,0,938.2,849,69,
108.3,162.4,0,203.5,0,938.2,849,70,
108.3,162.4,0,203.5,0,938.2,849,71,
108.3,162.4,0,203.5,0,938.2,849,72,
108.3,162.4,0,203.5,0,938.2,849,73,
108.3,162.4,0,203.5,0,938.2,849,74,
108.3,162.4,0,203.5,0,938.2,849,75,
108.3,162.4,0,203.5,0,938.2,849,76,
108.3,162.4,0,203.5,0,938.2,849,77,
108.3,162.4,0,203.5,0,938.2,849,78,
108.3,162.4,0,203.5,0,938.2,849,79,
108.3,162.4,0,203.5,0,938.2,849,80,
108.3,162.4,0,203.5,0,938.2,849,81,
108.3,162.4,0,203.5,0,938.2,849,82,
108.3,162.4,0,203.5,0,938.2,849,83,
108.3,162.4,0,203.5,0,938.2,849,84,
108.3,162.4,0,203.5,0,938.2,849,85,
108.3,162.4,0,203.5,0,938.2,849,86,
108.3,162.4,0,203.5,0,938.2,849,87,
108.3,162.4,0,203.5,0,938.2,849,88,
108.3,162.4,0,203.5,0,938.2,849,89,
108.3,162.4,0,203.5,0,938.2,849,90,29.23
116,173,0,192,0,909.8,891.9,1,
116,173,0,192,0,909.8,891.9,2,
116,173,0,192,0,909.8,891.9,3,6.28
116,173,0,192,0,909.8,891.9,4,
116,173,0,192,0,909.8,891.9,5,
116,173,0,192,0,909.8,891.9,6,
116,173,0,192,0,909.8,891.9,7,10.09
116,173,0,192,0,909.8,891.9,8,
116,173,0,192,0,909.8,891.9,9,
116,173,0,192,0,909.8,891.9,10,
116,173,0,192,0,909.8,891.9,11,
116,173,0,192,0,909.8,891.9,12,
116,173,0,192,0,909.8,891.9,13,
116,173,0,192,0,909.8,891.9,14,
116,173,0,192,0,909.8,891.9,15,
116,173,0,192,0,909.8,891.9,16,
116,173,0,192,0,909.8,891.9,17,
116,173,0,192,0,909.8,891.9,18,
116,173,0,192,0,909.8,891.9,19,
116,173,0,192,0,909.8,891.9,20,
116,173,0,192,0,909.8,891.9,21,
116,173,0,192,0,909.8,891.9,22,
116,173,0,192,0,909.8,891.9,23,
116,173,0,192,0,909.8,891.9,24,
116,173,0,192,0,909.8,891.9,25,
116,173,0,192,0,909.8,891.9,26,
116,173,0,192,0,909.8,891.9,27,
116,173,0,192,0,909.8,891.9,28,22.35
116,173,0,192,0,909.8,891.9,29,
116,173,0,192,0,909.8,891.9,30,
116,173,0,192,0,909.8,891.9,31,
116,173,0,192,0,909.8,891.9,32,
116,173,0,192,0,909.8,891.9,33,
116,173,0,192,0,909.8,891.9,34,
116,173,0,192,0,909.8,891.9,35,
116,173,0,192,0,909.8,891.9,36,
116,173,0,192,0,909.8,891.9,37,
116,173,0,192,0,909.8,891.9,38,
116,173,0,192,0,909.8,891.9,39,
116,173,0,192,0,909.8,891.9,40,
116,173,0,192,0,909.8,891.9,41,
116,173,0,192,0,909.8,891.9,42,
116,173,0,192,0,909.8,891.9,43,
116,173,0,192,0,909.8,891.9,44,
116,173,0,192,0,909.8,891.9,45,
116,173,0,192,0,909.8,891.9,46,
116,173,0,192,0,909.8,891.9,47,
116,173,0,192,0,909.8,891.9,48,
116,173,0,192,0,909.8,891.9,49,
116,173,0,192,0,909.8,891.9,50,
116,173,0,192,0,909.8,891.9,51,
116,173,0,192,0,909.8,891.9,52,
116,173,0,192,0,909.8,891.9,53,
116,173,0,192,0,909.8,891.9,54,
116,173,0,192,0,909.8,891.9,55,
116,173,0,192,0,909.8,891.9,56,
116,173,0,192,0,909.8,891.9,57,
116,173,0,192,0,909.8,891.9,58,
116,173,0,192,0,909.8,891.9,59,
116,173,0,192,0,909.8,891.9,60,
116,173,0,192,0,909.8,891.9,61,
116,173,0,192,0,909.8,891.9,62,
116,173,0,192,0,909.8,891.9,63,
116,173,0,192,0,909.8,891.9,64,
116,173,0,192,0,909.8,891.9,65,
116,173,0,192,0,909.8,891.9,66,
116,173,0,192,0,909.8,891.9,67,
116,173,0,192,0,909.8,891.9,68,
116,173,0,192,0,909.8,891.9,69,
116,173,0,192,0,909.8,891.9,70,
116,173,0,192,0,909.8,891.9,71,
116,173,0,192,0,909.8,891.9,72,
116,173,0,192,0,909.8,891.9,73,
116,173,0,192,0,909.8,891.9,74,
116,173,0,192,0,909.8,891.9,75,
116,173,0,192,0,909.8,891.9,76,
116,173,0,192,0,909.8,891.9,77,
116,173,0,192,0,909.8,891.9,78,
116,173,0,192,0,909.8,891.9,79,
116,173,0,192,0,909.8,891.9,80,
116,173,0,192,0,909.8,891.9,81,
116,173,0,192,0,909.8,891.9,82,
116,173,0,192,0,909.8,891.9,83,
116,173,0,192,0,909.8,891.9,84,
116,173,0,192,0,909.8,891.9,85,
116,173,0,192,0,909.8,891.9,86,
116,173,0,192,0,909.8,891.9,87,
116,173,0,192,0,909.8,891.9,88,
116,173,0,192,0,909.8,891.9,89,
116,173,0,192,0,909.8,891.9,90,31.02
122.6,183.9,0,203.5,0,958.2,800.1,1,
122.6,183.9,0,203.5,0,958.2,800.1,2,
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
122.6,183.9,0,203.5,0,958.2,800.1,4,
122.6,183.9,0,203.5,0,958.2,800.1,5,
122.6,183.9,0,203.5,0,958.2,800.1,6,
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
122.6,183.9,0,203.5,0,958.2,800.1,8,
122.6,183.9,0,203.5,0,958.2,800.1,9,
122.6,183.9,0,203.5,0,958.2,800.1,10,
122.6,183.9,0,203.5,0,958.2,800.1,11,
122.6,183.9,0,203.5,0,958.2,800.1,12,
122.6,183.9,0,203.5,0,958.2,800.1,13,
122.6,183.9,0,203.5,0,958.2,800.1,14,
122.6,183.9,0,203.5,0,958.2,800.1,15,
122.6,183.9,0,203.5,0,958.2,800.1,16,
122.6,183.9,0,203.5,0,958.2,800.1,17,
122.6,183.9,0,203.5,0,958.2,800.1,18,
122.6,183.9,0,203.5,0,958.2,800.1,19,
122.6,183.9,0,203.5,0,958.2,800.1,20,
122.6,183.9,0,203.5,0,958.2,800.1,21,
122.6,183.9,0,203.5,0,958.2,800.1,22,
122.6,183.9,0,203.5,0,958.2,800.1,23,
122.6,183.9,0,203.5,0,958.2,800.1,24,
122.6,183.9,0,203.5,0,958.2,800.1,25,
122.6,183.9,0,203.5,0,958.2,800.1,26,
122.6,183.9,0,203.5,0,958.2,800.1,27,
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
122.6,183.9,0,203.5,0,958.2,800.1,29,
122.6,183.9,0,203.5,0,958.2,800.1,30,
122.6,183.9,0,203.5,0,958.2,800.1,31,
122.6,183.9,0,203.5,0,958.2,800.1,32,
122.6,183.9,0,203.5,0,958.2,800.1,33,
122.6,183.9,0,203.5,0,958.2,800.1,34,
122.6,183.9,0,203.5,0,958.2,800.1,35,
122.6,183.9,0,203.5,0,958.2,800.1,36,
122.6,183.9,0,203.5,0,958.2,800.1,37,
122.6,183.9,0,203.5,0,958.2,800.1,38,
122.6,183.9,0,203.5,0,958.2,800.1,39,
122.6,183.9,0,203.5,0,958.2,800.1,40,
122.6,183.9,0,203.5,0,958.2,800.1,41,
122.6,183.9,0,203.5,0,958.2,800.1,42,
122.6,183.9,0,203.5,0,958.2,800.1,43,
122.6,183.9,0,203.5,0,958.2,800.1,44,
122.6,183.9,0,203.5,0,958.2,800.1,45,
122.6,183.9,0,203.5,0,958.2,800.1,46,
122.6,183.9,0,203.5,0,958.2,800.1,47,
122.6,183.9,0,203.5,0,958.2,800.1,48,
122.6,183.9,0,203.5,0,958.2,800.1,49,
122.6,183.9,0,203.5,0,958.2,800.1,50,
122.6,183.9,0,203.5,0,958.2,800.1,51,
122.6,183.9,0,203.5,0,958.2,800.1,52,
122.6,183.9,0,203.5,0,958.2,800.1,53,
122.6,183.9,0,203.5,0,958.2,800.1,54,
122.6,183.9,0,203.5,0,958.2,800.1,55,
122.6,183.9,0,203.5,0,958.2,800.1,56,
122.6,183.9,0,203.5,0,958.2,800.1,57,
122.6,183.9,0,203.5,0,958.2,800.1,58,
122.6,183.9,0,203.5,0,958.2,800.1,59,
122.6,183.9,0,203.5,0,958.2,800.1,60,
122.6,183.9,0,203.5,0,958.2,800.1,61,
122.6,183.9,0,203.5,0,958.2,800.1,62,
122.6,183.9,0,203.5,0,958.2,800.1,63,
122.6,183.9,0,203.5,0,958.2,800.1,64,
122.6,183.9,0,203.5,0,958.2,800.1,65,
122.6,183.9,0,203.5,0,958.2,800.1,66,
122.6,183.9,0,203.5,0,958.2,800.1,67,
122.6,183.9,0,203.5,0,958.2,800.1,68,
122.6,183.9,0,203.5,0,958.2,800.1,69,
122.6,183.9,0,203.5,0,958.2,800.1,70,
122.6,183.9,0,203.5,0,958.2,800.1,71,
122.6,183.9,0,203.5,0,958.2,800.1,72,
122.6,183.9,0,203.5,0,958.2,800.1,73,
122.6,183.9,0,203.5,0,958.2,800.1,74,
122.6,183.9,0,203.5,0,958.2,800.1,75,
122.6,183.9,0,203.5,0,958.2,800.1,76,
122.6,183.9,0,203.5,0,958.2,800.1,77,
122.6,183.9,0,203.5,0,958.2,800.1,78,
122.6,183.9,0,203.5,0,958.2,800.1,79,
122.6,183.9,0,203.5,0,958.2,800.1,80,
122.6,183.9,0,203.5,0,958.2,800.1,81,
122.6,183.9,0,203.5,0,958.2,800.1,82,
122.6,183.9,0,203.5,0,958.2,800.1,83,
122.6,183.9,0,203.5,0,958.2,800.1,84,
122.6,183.9,0,203.5,0,958.2,800.1,85,
122.6,183.9,0,203.5,0,958.2,800.1,86,
122.6,183.9,0,203.5,0,958.2,800.1,87,
122.6,183.9,0,203.5,0,958.2,800.1,88,
122.6,183.9,0,203.5,0,958.2,800.1,89,
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
132,206.5,160.9,178.9,5.5,866.9,735.6,1,
132,206.5,160.9,178.9,5.5,866.9,735.6,2,
132,206.5,160.9,178.9,5.5,866.9,735.6,3,
132,206.5,160.9,178.9,5.5,866.9,735.6,4,
132,206.5,160.9,178.9,5.5,866.9,735.6,5,
132,206.5,160.9,178.9,5.5,866.9,735.6,6,
132,206.5,160.9,178.9,5.5,866.9,735.6,7,
132,206.5,160.9,178.9,5.5,866.9,735.6,8,
132,206.5,160.9,178.9,5.5,866.9,735.6,9,
132,206.5,160.9,178.9,5.5,866.9,735.6,10,
132,206.5,160.9,178.9,5.5,866.9,735.6,11,
132,206.5,160.9,178.9,5.5,866.9,735.6,12,
132,206.5,160.9,178.9,5.5,866.9,735.6,13,
132,206.5,160.9,178.9,5.5,866.9,735.6,14,
132,206.5,160.9,178.9,5.5,866.9,735.6,15,
132,206.5,160.9,178.9,5.5,866.9,735.6,16,
132,206.5,160.9,178.9,5.5,866.9,735.6,17,
132,206.5,160.9,178.9,5.5,866.9,735.6,18,
132,206.5,160.9,178.9,5.5,866.9,735.6,19,
132,206.5,160.9,178.9,5.5,866.9,735.6,20,
132,206.5,160.9,178.9,5.5,866.9,735.6,21,
132,206.5,160.9,178.9,5.5,866.9,735.6,22,
132,206.5,160.9,178.9,5.5,866.9,735.6,23,
132,206.5,160.9,178.9,5.5,866.9,735.6,24,
132,206.5,160.9,178.9,5.5,866.9,735.6,25,
132,206.5,160.9,178.9,5.5,866.9,735.6,26,
132,206.5,160.9,178.9,5.5,866.9,735.6,27,
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
132,206.5,160.9,178.9,5.5,866.9,735.6,29,
132,206.5,160.9,178.9,5.5,866.9,735.6,30,
132,206.5,160.9,178.9,5.5,866.9,735.6,31,
132,206.5,160.9,178.9,5.5,866.9,735.6,32,
132,206.5,160.9,178.9,5.5,866.9,735.6,33,
132,206.5,160.9,178.9,5.5,866.9,735.6,34,
132,206.5,160.9,178.9,5.5,866.9,735.6,35,
132,206.5,160.9,178.9,5.5,866.9,735.6,36,
132,206.5,160.9,178.9,5.5,866.9,735.6,37,
132,206.5,160.9,178.9,5.5,866.9,735.6,38,
132,206.5,160.9,178.9,5.5,866.9,735.6,39,
132,206.5,160.9,178.9,5.5,866.9,735.6,40,
132,206.5,160.9,178.9,5.5,866.9,735.6,41,
132,206.5,160.9,178.9,5.5,866.9,735.6,42,
132,206.5,160.9,178.9,5.5,866.9,735.6,43,
132,206.5,160.9,178.9,5.5,866.9,735.6,44,
132,206.5,160.9,178.9,5.5,866.9,735.6,45,
132,206.5,160.9,178.9,5.5,866.9,735.6,46,
132,206.5,160.9,178.9,5.5,866.9,735.6,47,
132,206.5,160.9,178.9,5.5,866.9,735.6,48,
132,206.5,160.9,178.9,5.5,866.9,735.6,49,
132,206.5,160.9,178.9,5.5,866.9,735.6,50,
132,206.5,160.9,178.9,5.5,866.9,735.6,51,
132,206.5,160.9,178.9,5.5,866.9,735.6,52,
132,206.5,160.9,178.9,5.5,866.9,735.6,53,
132,206.5,160.9,178.9,5.5,866.9,735.6,54,
132,206.5,160.9,178.9,5.5,866.9,735.6,55,
132,206.5,160.9,178.9,5.5,866.9,735.6,56,
132,206.5,160.9,178.9,5.5,866.9,735.6,57,
132,206.5,160.9,178.9,5.5,866.9,735.6,58,
132,206.5,160.9,178.9,5.5,866.9,735.6,59,
132,206.5,160.9,178.9,5.5,866.9,735.6,60,
132,206.5,160.9,178.9,5.5,866.9,735.6,61,
132,206.5,160.9,178.9,5.5,866.9,735.6,62,
132,206.5,160.9,178.9,5.5,866.9,735.6,63,
132,206.5,160.9,178.9,5.5,866.9,735.6,64,
132,206.5,160.9,178.9,5.5,866.9,735.6,65,
132,206.5,160.9,178.9,5.5,866.9,735.6,66,
132,206.5,160.9,178.9,5.5,866.9,735.6,67,
132,206.5,160.9,178.9,5.5,866.9,735.6,68,
132,206.5,160.9,178.9,5.5,866.9,735.6,69,
132,206.5,160.9,178.9,5.5,866.9,735.6,70,
132,206.5,160.9,178.9,5.5,866.9,735.6,71,
132,206.5,160.9,178.9,5.5,866.9,735.6,72,
132,206.5,160.9,178.9,5.5,866.9,735.6,73,
132,206.5,160.9,178.9,5.5,866.9,735.6,74,
132,206.5,160.9,178.9,5.5,866.9,735.6,75,
132,206.5,160.9,178.9,5.5,866.9,735.6,76,
132,206.5,160.9,178.9,5.5,866.9,735.6,77,
132,206.5,160.9,178.9,5.5,866.9,735.6,78,
132,206.5,160.9,178.9,5.5,866.9,735.6,79,
132,206.5,160.9,178.9,5.5,866.9,735.6,80,
132,206.5,160.9,178.9,5.5,866.9,735.6,81,
132,206.5,160.9,178.9,5.5,866.9,735.6,82,
132,206.5,160.9,178.9,5.5,866.9,735.6,83,
132,206.5,160.9,178.9,5.5,866.9,735.6,84,
132,206.5,160.9,178.9,5.5,866.9,735.6,85,
132,206.5,160.9,178.9,5.5,866.9,735.6,86,
132,206.5,160.9,178.9,5.5,866.9,735.6,87,
132,206.5,160.9,178.9,5.5,866.9,735.6,88,
132,206.5,160.9,178.9,5.5,866.9,735.6,89,
132,206.5,160.9,178.9,5.5,866.9,735.6,90,
132,207,161,179,5,867,736,1,
132,207,161,179,5,867,736,2,
132,207,161,179,5,867,736,3,
132,207,161,179,5,867,736,4,
132,207,161,179,5,867,736,5,
132,207,161,179,5,867,736,6,
132,207,161,179,5,867,736,7,
132,207,161,179,5,867,736,8,
132,207,161,179,5,867,736,9,
132,207,161,179,5,867,736,10,
132,207,161,179,5,867,736,11,
132,207,161,179,5,867,736,12,
132,207,161,179,5,867,736,13,
132,207,161,179,5,867,736,14,
132,207,161,179,5,867,736,15,
132,207,161,179,5,867,736,16,
132,207,161,179,5,867,736,17,
132,207,161,179,5,867,736,18,
132,207,161,179,5,867,736,19,
132,207,161,179,5,867,736,20,
132,207,161,179,5,867,736,21,
132,207,161,179,5,867,736,22,
132,207,161,179,5,867,736,23,
132,207,161,179,5,867,736,24,
132,207,161,179,5,867,736,25,
132,207,161,179,5,867,736,26,
132,207,161,179,5,867,736,27,
132,207,161,179,5,867,736,28,33.3
132,207,161,179,5,867,736,29,
132,207,161,179,5,867,736,30,
132,207,161,179,5,867,736,31,
132,207,161,179,5,867,736,32,
132,207,161,179,5,867,736,33,
132,207,161,179,5,867,736,34,
132,207,161,179,5,867,736,35,
132,207,161,179,5,867,736,36,
132,207,161,179,5,867,736,37,
132,207,161,179,5,867,736,38,
132,207,161,179,5,867,736,39,
132,207,161,179,5,867,736,40,
132,207,161,179,5,867,736,41,
132,207,161,179,5,867,736,42,
132,207,161,179,5,867,736,43,
132,207,161,179,5,867,736,44,
132,207,161,179,5,867,736,45,
132,207,161,179,5,867,736,46,
132,207,161,179,5,867,736,47,
132,207,161,179,5,867,736,48,
132,207,161,179,5,867,736,49,
132,207,161,179,5,867,736,50,
132,207,161,179,5,867,736,51,
132,207,161,179,5,867,736,52,
132,207,161,179,5,867,736,53,
132,207,161,179,5,867,736,54,
132,207,161,179,5,867,736,55,
132,207,161,179,5,867,736,56,
132,207,161,179,5,867,736,57,
132,207,161,179,5,867,736,58,
132,207,161,179,5,867,736,59,
132,207,161,179,5,867,736,60,
132,207,161,179,5,867,736,61,
132,207,161,179,5,867,736,62,
132,207,161,179,5,867,736,63,
132,207,161,179,5,867,736,64,
132,207,161,179,5,867,736,65,
132,207,161,179,5,867,736,66,
132,207,161,179,5,867,736,67,
132,207,161,179,5,867,736,68,
132,207,161,179,5,867,736,69,
132,207,161,179,5,867,736,70,
132,207,161,179,5,867,736,71,
132,207,161,179,5,867,736,72,
132,207,161,179,5,867,736,73,
132,207,161,179,5,867,736,74,
132,207,161,179,5,867,736,75,
132,207,161,179,5,867,736,76,
132,207,161,179,5,867,736,77,
132,207,161,179,5,867,736,78,
132,207,161,179,5,867,736,79,
132,207,161,179,5,867,736,80,
132,207,161,179,5,867,736,81,
132,207,161,179,5,867,736,82,
132,207,161,179,5,867,736,83,
132,207,161,179,5,867,736,84,
132,207,161,179,5,867,736,85,
132,207,161,179,5,867,736,86,
132,207,161,179,5,867,736,87,
132,207,161,179,5,867,736,88,
132,207,161,179,5,867,736,89,
132,207,161,179,5,867,736,90,
133,200,0,192,0,927.4,839.2,1,
133,200,0,192,0,927.4,839.2,2,
133,200,0,192,0,927.4,839.2,3,6.88
133,200,0,192,0,927.4,839.2,4,
133,200,0,192,0,927.4,839.2,5,
133,200,0,192,0,927.4,839.2,6,
133,200,0,192,0,927.4,839.2,7,13.66
133,200,0,192,0,927.4,839.2,8,
133,200,0,192,0,927.4,839.2,9,
133,200,0,192,0,927.4,839.2,10,
133,200,0,192,0,927.4,839.2,11,
133,200,0,192,0,927.4,839.2,12,
133,200,0,192,0,927.4,839.2,13,
133,200,0,192,0,927.4,839.2,14,
133,200,0,192,0,927.4,839.2,15,
133,200,0,192,0,927.4,839.2,16,
133,200,0,192,0,927.4,839.2,17,
133,200,0,192,0,927.4,839.2,18,
133,200,0,192,0,927.4,839.2,19,
133,200,0,192,0,927.4,839.2,20,
133,200,0,192,0,927.4,839.2,21,
133,200,0,192,0,927.4,839.2,22,
133,200,0,192,0,927.4,839.2,23,
133,200,0,192,0,927.4,839.2,24,
133,200,0,192,0,927.4,839.2,25,
133,200,0,192,0,927.4,839.2,26,
133,200,0,192,0,927.4,839.2,27,
133,200,0,192,0,927.4,839.2,28,27.87
133,200,0,192,0,927.4,839.2,29,
133,200,0,192,0,927.4,839.2,30,
133,200,0,192,0,927.4,839.2,31,
133,200,0,192,0,927.4,839.2,32,
133,200,0,192,0,927.4,839.2,33,
133,200,0,192,0,927.4,839.2,34,
133,200,0,192,0,927.4,839.2,35,
133,200,0,192,0,927.4,839.2,36,
133,200,0,192,0,927.4,839.2,37,
133,200,0,192,0,927.4,839.2,38,
133,200,0,192,0,927.4,839.2,39,
133,200,0,192,0,927.4,839.2,40,
133,200,0,192,0,927.4,839.2,41,
133,200,0,192,0,927.4,839.2,42,
133,200,0,192,0,927.4,839.2,43,
133,200,0,192,0,927.4,839.2,44,
133,200,0,192,0,927.4,839.2,45,
133,200,0,192,0,927.4,839.2,46,
133,200,0,192,0,927.4,839.2,47,
133,200,0,192,0,927.4,839.2,48,
133,200,0,192,0,927.4,839.2,49,
133,200,0,192,0,927.4,839.2,50,
133,200,0,192,0,927.4,839.2,51,
133,200,0,192,0,927.4,839.2,52,
133,200,0,192,0,927.4,839.2,53,
133,200,0,192,0,927.4,839.2,54,
133,200,0,192,0,927.4,839.2,55,
133,200,0,192,0,927.4,839.2,56,
133,200,0,192,0,927.4,839.2,57,
133,200,0,192,0,927.4,839.2,58,
133,200,0,192,0,927.4,839.2,59,
133,200,0,192,0,927.4,839.2,60,
133,200,0,192,0,927.4,839.2,61,
